#,platform,comparable_feature,rating,notes,Creation date,Modified date,Short ID,Manual sorting,Entity
1,wordpress,Design Flexibility,High,,22.09.2023 23:16,22.09.2023 23:16,T3O2HM,0,
2,webflow,Design Flexibility,Best,,22.09.2023 23:16,22.09.2023 23:16,YIZC6J,0,
3,wix,Design Flexibility,High,,22.09.2023 23:22,22.09.2023 23:22,N6LR3N,0,
4,vev,Design Flexibility,High,,22.09.2023 23:22,22.09.2023 23:22,P7PDI2,0,
5,tumblr,Design Flexibility,Low,,30.09.2023 18:14,30.09.2023 18:14,HFN97G,0,
6,wordpress,SEO Capabilities,Best,,22.09.2023 23:05,22.09.2023 23:14,1CGOWS,0,
7,wordpress,Theme Availability,Best,,22.09.2023 22:57,22.09.2023 23:14,7115QL,0,
8,webflow,Theme Availability,High,,22.09.2023 23:16,22.09.2023 23:16,16035I,0,
9,dorik,Theme Availability,Low,,22.09.2023 23:21,22.09.2023 23:21,I1LD8J,0,
10,wix,Theme Availability,Medium,,22.09.2023 23:22,22.09.2023 23:22,84DIE6,0,
11,wordpress,User-Friendliness,Medium,,22.09.2023 23:20,22.09.2023 23:20,YCIRXS,0,
12,webflow,User-Friendliness,Medium,,22.09.2023 23:21,22.09.2023 23:21,DGSAN8,0,
13,vev,User-Friendliness,Low,,22.09.2023 23:23,22.09.2023 23:23,8UV73O,0,
14,wix,User-Friendliness,High,,22.09.2023 23:23,22.09.2023 23:23,RV8NRT,0,
15,tumblr,User-Friendliness,High,,30.09.2023 18:14,30.09.2023 18:14,KJ3GFF,0,
16,wordpress,Versatility,Best,,23.09.2023 00:38,23.09.2023 00:38,L15RYZ,0,
17,webflow,Versatility,High,,23.09.2023 00:38,23.09.2023 00:38,C9ZP68,0,
18,wix,Versatility,Best,,23.09.2023 00:41,23.09.2023 00:41,354GEJ,0,
19,format,Versatility,Low,,23.09.2023 00:41,23.09.2023 00:41,D83YAV,0,
20,dorik,Versatility,Medium,,23.09.2023 00:41,23.09.2023 00:41,R66KP4,0,
21,instapage,Versatility,Low,,23.09.2023 00:41,23.09.2023 00:41,8X7WWT,0,
22,pixpa,Versatility,Low,,23.09.2023 00:42,23.09.2023 00:42,NH8IYK,0,
23,blogger,Versatility,Low,,23.09.2023 00:42,23.09.2023 00:42,OIUQS6,0,
24,squarespace,Versatility,High,,23.09.2023 00:43,23.09.2023 00:43,LQ0E9U,0,
25,medium,Versatility,Low,,23.09.2023 00:43,23.09.2023 00:43,0IR6O2,0,
26,ghost,Versatility,Medium,,23.09.2023 00:43,23.09.2023 00:43,98LME1,0,
