#,platform,feature,type,notes,Creation date,Modified date,Short ID,Manual sorting,Entity
1,wordpress,Ad Monetization,plugins,"WordPress supports ad monetization either directly or through various plugins, allowing bloggers to generate revenue from their content by displaying ads.",23.09.2023 00:48,28.09.2023 00:48,8515A6,0,
2,webflow,Ad Monetization,integrations,"Webflow provides the flexibility to integrate advertisements into your blog, either directly or through third-party plugins, offering a potential revenue stream as you attract and engage readers with your content.",23.09.2023 00:49,28.09.2023 00:20,X51DL3,0,
3,ghost,Ad Monetization,integrations,"While Ghost doesn't natively support ad placements, it allows integration with third-party advertising platforms enabling bloggers to monetize their content through display ads.",23.09.2023 00:51,28.09.2023 00:37,D72JJ5,0,
4,pagecloud,Ad Monetization,,"While PageCloud doesn't natively support ad placements, it allows integration with third-party advertising platforms enabling bloggers to monetize their content through display ads.",2.10.2023 01:25,2.10.2023 01:25,7G0F45,0,
5,wix,Ad Monetization,integrations,"Wix supports ad monetization through its partnership with Google AdSense, allowing bloggers to generate revenue by displaying targeted ads on their blog.",2.10.2023 01:27,2.10.2023 01:27,1FJQQH,0,
6,wordpress,Category & Tag System,built-in,"WordPress has a built-in category and tag system that helps organize your blog posts effectively, improving navigability for readers and enhancing SEO performance.",23.09.2023 00:47,28.09.2023 00:48,7UNBI4,0,
7,ghost,Category & Tag System,built-in,"Ghost includes a built-in category and tag system that helps organize your blog posts effectively, making it easier for readers to find relevant content based on their interests.",24.09.2023 17:15,28.09.2023 00:37,H7K9IJ,0,
8,publii,Category & Tag System,built-in,,24.09.2023 17:15,24.09.2023 17:15,ABDUPQ,0,
9,pixpa,Category & Tag System,built-in,"Pixpa includes a built-in category and tag system that helps you organize your blog posts effectively, making it easier for readers to find content related to specific topics or themes.",28.09.2023 00:57,28.09.2023 00:57,0VWDFX,0,
10,pagecloud,Category & Tag System,built-in,You can manually create categories and tags for your blog posts to help organize your content effectively and improve navigability for readers.,2.10.2023 01:26,2.10.2023 01:26,3YTVJT,0,
11,wix,Category & Tag System,built-in,"Wix includes a built-in category and tag system that helps organize your blog posts effectively, improving navigability for readers and enhancing SEO performance.",2.10.2023 01:28,2.10.2023 01:28,WHM02N,0,
12,webflow,Code Export,built-in,"For users seeking more control over deployment or wanting offline backups, Webflow offers built-in code export functionality that allows downloading clean HTML/CSS/JavaScript files of the entire project.",23.09.2023 00:49,28.09.2023 00:20,N6UZY8,0,
13,tilda,Code Export,,,6.10.2023 02:34,6.10.2023 02:34,VO3FPH,0,
14,wordpress,Code Inject,built-in,"With the ability to access theme files or use specific plugins, users can inject custom code into their WordPress site providing extensive customization options.",23.09.2023 00:48,28.09.2023 00:48,JU2G31,0,
15,vev,Code Inject,built-in,"Vev's platform includes a built-in feature that allows users to inject custom code into their blog pages, offering an enhanced level of customization and control over the functionality or appearance of your site.",24.09.2023 18:29,28.09.2023 00:27,9O3WRC,0,
16,webflow,Code Inject,built-in,"With Code Injection features available natively within its interface, Webflow lets users add custom codes (HTML/CSS/JS) at site-wide level or individual page headers and footers – enhancing customization possibilities further.",24.09.2023 18:29,28.09.2023 00:20,QTM4X0,0,
17,wix,Code Inject,built-in,"With the ability to access theme files or use specific plugins, users can inject custom code into their Wix site providing extensive customization options.",24.09.2023 18:30,2.10.2023 01:28,BWRN67,0,
18,ghost,Code Inject,,The platform offers Code Injection features within its interface allowing users to add custom code snippets (HTML/CSS/JS) at site-wide level or individual page headers and footers – enhancing customization possibilities further.,24.09.2023 18:30,28.09.2023 00:38,N2M4S6,0,
19,pixpa,Code Inject,,"With Pixpa's code inject feature, users can add custom HTML/CSS/JS codes into their site headers or footers providing additional customization options beyond the platform's standard design tools.",28.09.2023 00:57,28.09.2023 00:57,TMD9D4,0,
20,tumblr,Code Inject,built-in,"Tumblr allows users to access and modify the HTML of their blog themes, providing a way to inject custom code for further customization or adding additional functionalities.",2.10.2023 01:19,2.10.2023 01:19,I1M1PK,0,
21,pagecloud,Code Inject,built-in,"With the ability to access theme files or use specific plugins, users can inject custom code into their PageCloud site providing extensive customization options.",2.10.2023 01:26,2.10.2023 01:26,TJ28FM,0,
22,exposure,Code Inject,built-in,Exposure’s Business plan allows you to inject your custom code to customize your site. ,2.10.2023 23:58,2.10.2023 23:58,YC0N4O,0,
23,tilda,Code Inject,built-in,,6.10.2023 02:43,6.10.2023 02:43,5IGT7P,0,
24,ghost,Comment system,integrations,"Although not available out-of-the-box, comment systems can be added into a Ghost blog via integrations with services like Disqus or Commento providing interactive engagement opportunities with readers.",23.09.2023 00:52,28.09.2023 00:38,I1EY6F,0,
25,wix,Comment system,built-in,The platform comes with an integrated comment system enabling interactive engagement between bloggers and readers right out of the box.,23.09.2023 00:52,2.10.2023 01:28,QC7HB4,0,
26,blogger,Comment system,built-in,,23.09.2023 00:52,23.09.2023 00:52,0WF6DO,0,
