#,title,slug,order,url,description,color,body,free,audience,pros,cons,logo,cover,media,resources,vs,Creation date,Modified date,Short ID,Manual sorting,Entity
1,Blogger,blogger,9,https://www.blogger.com/,"There are many blogging sites out there, but Blogger is one of the most popular blog platform.","rgba(240, 105, 57, 255)",,Free Plan,"News Publishers / Journalists, Personal Bloggers",Connecting your Google Adsense account also lets you earn income from ads.,Very limited design options to customize the look of your blog.,media/9C2DE616-18B2-4A94-8A0E-AD9EE65DDC84.jpg,media/5E51D552-3728-41D3-85BF-70FD31BD6EAE.jpg,,,,16.09.2023 21:44,20.09.2023 21:44,G8GGOY,0,
2,DevDojo,devdojo,15,https://devdojo.com?ref=webmeister,DevDojo caters specifically towards developers wanting to share programming tutorials or technical articles in a community-driven environment.,"rgba(0, 0, 0, 255)","DevDojo is a freemium online platform for developers to collaborate, learn, and build projects. It includes a library of tutorials, discussion forums, and resources to help developers grow and learn.

DevDojo also provides a platform for developers to host projects, share code, and collaborate with others. It's a great resource for developers of all levels, from beginners to experts.",Free Plan,"Developers, Personal Bloggers",Free plan includes the use of your custom domain with the platform ; Integrated user base provides immediate exposure and engagement opportunities for your blog content within an active community.; Pro plan offers TailwindCSS builder.,Platform’s different features and products sometime show buggy behaviour.,media/3EDC1668-F2A3-4326-A3B9-0D8366003E76.jpg,media/8E33DC91-3A47-4971-AAD2-4F42EF0FEC30.jpg,,,,24.09.2023 19:20,24.09.2023 19:26,XT95OY,0,
3,Dorik,dorik,4,https://dorik.com/?ref=can-burak72,Dorik provides straightforward website building solutions perfect for individuals wanting to create clean and minimalist blogs without needing extensive coding knowledge.Dorik,"rgba(-3, 100, 255, 255)","Dorik is a rising star in the world of blogging platforms.

It combines simplicity with stunning design options, all wrapped up in a neat package that even those new to blogging will find easy to use.

Dorik shines for its focus on single-page blogs, making it a strong choice for portfolios, personal blogs, or landing pages.

As well as a personal blogging site, Dorik also offers white-label solutions for freelancers and agencies who want to build for their clients.",Free Plan (limited features),"Business & Marketers, Content Creators, General, Personal Bloggers",It offers white-label solution for freelancers and agencies.; Simple and straightforward to use.; Easy to customize existing templates.,Limited number of ready-to-use templates.,media/1DE3B3B8-96EB-43BA-A32A-C9884471D89B.jpg,media/1E282F24-D16D-4CFC-BCF7-E33EC713BE2D.jpg,media/9A7CBF54-1F4A-4980-91B7-F499A92EE32E.jpg; media/D94921E0-DFA4-45B7-B053-13C68A781978.jpg; media/153B1882-6E7F-4A2B-8DA9-FA8CF07C0D1D.jpg; media/59906F65-B268-4169-A4DD-C25E1796A226.jpg,,,16.09.2023 21:59,20.09.2023 21:44,Q02TC3,0,
4,Exposure,exposure,18,https://exposure.co/,Exposure serves as an exceptional choice of blogging platforms specifically tailored towards visual storytellers aiming to present photo narratives within beautifully crafted layouts.,"rgba(0, 0, 0, 255)","Exposure, which has a strong aesthetic aspect, lets you create portfolio sites in story format. Storytellers will find it most suitable in this regard.

Despite the few customization options this platform offers, it makes it appear as if it was curated by a team of experts. Exposure is perfect for anyone seeking a blog site that is visually appealing and harmonious with their content.",Free Plan (limited features),"News Publishers / Journalists, Photo Bloggers, Storytellers",It is a perfect platform for storytellers and photo-journalists.,,media/28F5E3D1-2604-4753-A65B-0DFF2C50281B.jpg,media/747DD359-6CF4-429A-84B7-8FA079534938.jpg,,,,16.09.2023 22:16,2.10.2023 23:42,JLWG6L,0,
5,Format,format,5,https://format.grsm.io/vdptwrg0w0q9,"Format is a professional-grade blogging platform designed specifically for artists and photographers, offering an array of sleek templates and portfolio features to beautifully showcase their work alongside engaging blog content.","rgba(253, 242, 1, 255)","Photographers have the opportunity to create their own photo blogs on Format and share their work with a wider audience. Format allows users to personalize their blogs with various layouts, designs, and tags. One of the most compelling features of Format is the ability for creators to sell their portfolios and generate revenue. Additionally, photographers can take advantage of Format's cloud storage to easily store and share their photographs with clients. Social media platforms like Instagram and Facebook are also available for users to showcase their work.",No Free Plan," Designers, Artists, Photo Bloggers, Storytellers",You can sell their digital works on Format and get revenue.; Format's cloud storage allows you to easily store and share their photographs with clients; Social media platforms like Instagram and Facebook are also available for users to showcase their work,,media/775A5E50-9C05-4C1A-8C1D-CB4933755776.jpg,media/6855BC53-59C8-48A9-9B1F-7B88CAD79095.jpg,,,,16.09.2023 22:13,20.09.2023 21:44,8LD16E,0,
6,Ghost,ghost,12,https://ghost.org/,"Ghost combines simplicity with powerful publishing features, providing an excellent choice as a modern blog platform focused on speed and usability.","rgba(190, 56, 243, 255)","Ghost is one of the few open-source blog platforms that is popular among developers and writers. Its stars on GitHub indicate its popularity. It is truly a platform for bloggers.

The most impressive feature of this platform, which is very popular with writers and programmers, is the content editor. In addition to having an embed button for a variety of platforms, this editor is also capable of working in markdown.

The bookmark tool is my favorite feature among all of these. You may also share your links as previews if you wish.

You can greatly enhance your blog's functionality with a variety of third-party integrations.",Free Plan (limited time),"Authors, Business & Marketers, Content Creators, Developers, News Publishers / Journalists, Personal Bloggers",Many carefully curated themes.; Lots of Integration options.; Easily create paywalls for you blog posts or your newsletters.,It is difficult to customize themes beyond their defaults if you don’t have coding knowledge; Themes can be relatively expensive.,media/5938E5D8-400E-465F-A4E8-76CB3B175717.jpg,media/A6D1345B-5564-48B7-927C-00302AA437C9.jpg,,,,19.09.2023 04:24,28.09.2023 00:41,DPQR12,0,
7,HashNode,hashnode,13,https://hashnode.com/,HashNode provides software engineers the ability to start free developer blogs under personal domains while also benefiting from being part of its wider dev community network,"rgba(38, 99, 235, 255)","There is no doubt that HashNode is one of the best free blog platforms  on the internet where you can use your own domain name as well.

One of the channels where software developers share and follow each other is HashNode.

You can use you custom domain name without spending money.",Free Plan,"Developers, Personal Bloggers","Free platform allows you to use your custom domain; The users of the platform also the readers of articles shared in the platform; Free AI search companion (Rix) ; Native GitHub integration; Audioblog: ""Listen to this article"" ",The users and the readers of the platform mostly consist of developers.,media/B52AC5C3-F219-4186-8623-C93913F83501.jpg,media/069590ED-64BC-4D15-83BC-4F08B7C706C1.jpg,,,,24.09.2023 18:56,28.09.2023 00:31,OAI9HJ,0,
8,Instapage,instapage,6,https://instapage.grsm.io/p2s19x4z3r9l,"Instapage serves as an advanced blog platform with robust landing page features, perfect for businesses looking to convert their blog traffic into leads or sales.","rgba(13, 19, 91, 255)","The Instapage platform allows businesses to create and optimize landing pages for their marketing campaigns. It focuses on lead generation and is ideal for bloggers.

It offers a drag-and-drop page builder, a variety of pre-designed templates, and integration with other marketing tools, such as email marketing.

With analytics and real-time data, users can track the performance of their campaigns and A/B test their pages.

Additionally, Instapage offers advanced features, such as heatmaps, dynamic text replacement, and personalized experiences.

Creating and optimizing landing pages is easy and fast with this platform, which is popular among digital marketers and businesses.

Using Instapage to optimize landing pages can help businesses increase their conversion rates.

Create an account for Instapage",No Free Plan,Business & Marketers,Great tools for lead generation.; Real-time visual collaboration; Serverside A/B tests. (No performance penalty) ,Expensive price: 199$/month ,media/5D7EA28F-C971-4A2F-A4F4-6715E13547DE.jpg,media/A6D59B07-5078-491D-96EC-453F76B25417.jpg,,,,19.09.2023 22:53,20.09.2023 21:43,DPLR0E,0,
9,Medium,medium,10,https://medium.com/,Medium was launched by a co-founder of Twitter and focuses on long-form content.,"rgba(5, 5, 5, 255)",,Free Plan (limited features),"Authors, News Publishers / Journalists, Personal Bloggers",One of the most killer benefits of writing on Medium is that you can reach a large audience quickly because of the platform's built-in audience.,Limited customization options,media/1C949BD3-07C2-43F9-BE4C-370F2994CE99.jpg,media/BFFC9698-31E7-458B-A965-6D3033CE0F15.jpg,media/B9EBA207-D252-4F5D-B3A3-DE69D908425E.jpg; media/A81E485F-80AB-4573-882E-0FCAFA40A9E1.jpg,,,16.09.2023 21:42,30.09.2023 17:42,1N0RAB,0,
10,PageCloud,pagecloud,11,https://www.pagecloud.com/home-partners?gspk=Y2FuYnVyYWtzb2Z5YWxpb2dsdTMwNTQ&gsxid=Is2tDreeXpFm&utm_campaign=affiliate-referral-program&utm_medium=partner&utm_source=canburaksofyalioglu3054,"PageCloud offers intuitive drag-and-drop tools combined with robust customization options, making it ideal for bloggers seeking flexibility in designing unique websites.","rgba(204, 204, 204, 255)","In terms of positioning itself, PageCloud is suitable for SMEs. Additionally, it offers a blogging function in addition to being a website creation app for your company or shop.

An easy-to-use interface is provided by this application, which also includes an e-commerce module. Your posts can be published on your website by using the Pagecloud blog application, which is very simple and easy to use.

The price of membership in Pagecloud begins at $19 per month for those who are interested in becoming a member of PageCloud.",Free Plan (limited features),"Business & Marketers, Personal Bloggers, Photo Bloggers",Easy-to-use interface,,media/3AB6F317-CDCE-4C1C-93B1-30EB1551B907.jpg,media/C91C8009-4E36-4B31-96EF-746BFD5D7C22.jpg,,,,19.09.2023 22:37,20.09.2023 21:46,VHLMM1,0,
11,Pixpa,pixpa,8,https://www.pixpa.com/signup?refcode=BURAK10,Pixpa stands out as a specialized blogging platform designed for creatives and photographers looking to showcase their portfolio alongside engaging blog content.,"rgba(12, 26, 71, 255)","Pixpa provides you with the opportunity to create a portfolio and showcase your work on a photo-blog site. In addition, it provides you with the opportunity to earn an income from the sale of your work.

More than 150 themes allows you to showcase your works.",Free Plan (limited time)," Designers, Artists, Business & Marketers, Photo Bloggers, Storytellers",Carefully curated themes,Relatively less number of themes (more than 150),media/3E6FCA6C-EB1E-4A7F-924C-145BC82E2979.jpg,media/992B5953-060F-4245-A7AC-315CEA5490BB.jpg,,,,19.09.2023 22:30,20.09.2023 21:45,DE2KRH,0,
